,ts_code
0,000023.SZ
1,000025.SZ
2,000048.SZ
3,000049.SZ
4,000066.SZ
5,000069.SZ
6,000099.SZ
7,000157.SZ
8,000333.SZ
9,000401.SZ
10,000403.SZ
11,000407.SZ
12,000411.SZ
13,000425.SZ
14,000524.SZ
15,000528.SZ
16,000529.SZ
17,000543.SZ
18,000547.SZ
19,000551.SZ
20,000568.SZ
21,000596.SZ
22,000656.SZ
23,000661.SZ
24,000671.SZ
25,000672.SZ
26,000682.SZ
27,000690.SZ
28,000705.SZ
29,000708.SZ
30,000719.SZ
31,000739.SZ
32,000756.SZ
33,000788.SZ
34,000789.SZ
35,000795.SZ
36,000799.SZ
37,000810.SZ
38,000850.SZ
39,000858.SZ
40,000875.SZ
41,000877.SZ
42,000880.SZ
43,000906.SZ
44,000922.SZ
45,000949.SZ
46,000958.SZ
47,000961.SZ
48,000963.SZ
49,000966.SZ
50,002007.SZ
51,002020.SZ
52,002028.SZ
53,002032.SZ
54,002063.SZ
55,002064.SZ
56,002080.SZ
57,002099.SZ
58,002106.SZ
59,002111.SZ
60,002112.SZ
61,002140.SZ
62,002142.SZ
63,002149.SZ
64,002150.SZ
65,002154.SZ
66,002162.SZ
67,002191.SZ
68,002214.SZ
69,002216.SZ
70,002225.SZ
71,002226.SZ
72,002234.SZ
73,002243.SZ
74,002251.SZ
75,002254.SZ
76,002262.SZ
77,002272.SZ
78,002274.SZ
79,002278.SZ
80,002299.SZ
81,002302.SZ
82,002318.SZ
83,002353.SZ
84,002371.SZ
85,002381.SZ
86,002382.SZ
87,002391.SZ
88,002392.SZ
89,002398.SZ
90,002402.SZ
91,002404.SZ
92,002409.SZ
93,002414.SZ
94,002436.SZ
95,002438.SZ
96,002439.SZ
97,002457.SZ
98,002458.SZ
99,002463.SZ
100,002465.SZ
101,002467.SZ
102,002475.SZ
103,002511.SZ
104,002541.SZ
105,002552.SZ
106,002557.SZ
107,002576.SZ
108,002579.SZ
109,002591.SZ
110,002599.SZ
111,002605.SZ
112,002616.SZ
113,002620.SZ
114,002621.SZ
115,002639.SZ
116,002641.SZ
117,002643.SZ
118,002661.SZ
119,002669.SZ
120,002683.SZ
121,002687.SZ
122,002688.SZ
123,002690.SZ
124,002698.SZ
125,002706.SZ
126,002724.SZ
127,002727.SZ
128,002746.SZ
129,002755.SZ
130,002760.SZ
131,002777.SZ
132,002799.SZ
133,002803.SZ
134,002810.SZ
135,002812.SZ
136,002819.SZ
137,002832.SZ
138,002853.SZ
139,002867.SZ
140,002907.SZ
141,002908.SZ
142,002912.SZ
143,002916.SZ
144,002918.SZ
145,600007.SH
146,600009.SH
147,600027.SH
148,600031.SH
149,600033.SH
150,600036.SH
151,600038.SH
152,600048.SH
153,600063.SH
154,600097.SH
155,600099.SH
156,600143.SH
157,600158.SH
158,600167.SH
159,600170.SH
160,600197.SH
161,600202.SH
162,600223.SH
163,600276.SH
164,600305.SH
165,600325.SH
166,600329.SH
167,600336.SH
168,600352.SH
169,600376.SH
170,600379.SH
171,600383.SH
172,600419.SH
173,600436.SH
174,600452.SH
175,600456.SH
176,600459.SH
177,600461.SH
178,600466.SH
179,600491.SH
180,600496.SH
181,600510.SH
182,600511.SH
183,600519.SH
184,600529.SH
185,600532.SH
186,600557.SH
187,600558.SH
188,600559.SH
189,600565.SH
190,600570.SH
191,600588.SH
192,600606.SH
193,600612.SH
194,600642.SH
195,600668.SH
196,600673.SH
197,600702.SH
198,600704.SH
199,600713.SH
200,600727.SH
201,600728.SH
202,600763.SH
203,600773.SH
204,600774.SH
205,600779.SH
206,600780.SH
207,600792.SH
208,600794.SH
209,600801.SH
210,600805.SH
211,600809.SH
212,600819.SH
213,600845.SH
214,600863.SH
215,600866.SH
216,600871.SH
217,600872.SH
218,600882.SH
219,600926.SH
220,600970.SH
221,600984.SH
222,600992.SH
223,601021.SH
224,601100.SH
225,601128.SH
226,601137.SH
227,601186.SH
228,601226.SH
229,601318.SH
230,601336.SH
231,601369.SH
232,601390.SH
233,601601.SH
234,601611.SH
235,601668.SH
236,601677.SH
237,601799.SH
238,601808.SH
239,601858.SH
240,601877.SH
241,601898.SH
242,601918.SH
243,601949.SH
244,601966.SH
245,601968.SH
246,601992.SH
247,603000.SH
248,603012.SH
249,603019.SH
250,603033.SH
251,603060.SH
252,603088.SH
253,603108.SH
254,603128.SH
255,603198.SH
256,603199.SH
257,603203.SH
258,603218.SH
259,603277.SH
260,603288.SH
261,603308.SH
262,603313.SH
263,603326.SH
264,603333.SH
265,603338.SH
266,603345.SH
267,603360.SH
268,603365.SH
269,603368.SH
270,603456.SH
271,603466.SH
272,603505.SH
273,603508.SH
274,603517.SH
275,603520.SH
276,603538.SH
277,603558.SH
278,603568.SH
279,603589.SH
280,603599.SH
281,603606.SH
282,603609.SH
283,603611.SH
284,603617.SH
285,603638.SH
286,603679.SH
287,603689.SH
288,603699.SH
289,603800.SH
290,603801.SH
291,603819.SH
292,603823.SH
293,603833.SH
294,603855.SH
295,603856.SH
296,603878.SH
297,603882.SH
298,603883.SH
299,603899.SH
300,603916.SH
301,603918.SH
302,603920.SH
303,603936.SH
304,603955.SH
305,603968.SH
306,603969.SH
307,603979.SH
308,603987.SH
309,603988.SH
